Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
$87.50 /hr (est.),182000.0,Technical Consultant - I,6.0,1,-1,Strivernet RPO Services Ltd,Remote,4.033333333333333,1,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,hr,4.454545454545454,7.5
"$87,258 /yr (est.)",87258.0,AWS / ML Consultant,0.0,1,1,Cognizant,LA,3.8,0,29.0,10000+ Employees,1994,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.4,3.6,yr,7.0,9.0
"$192,000 /yr (est.)",192000.0,"Data, AI & Automation Senior Managing Consultant",10.0,2,1,IBM,LA,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0
"$79,816 /yr (est.)",79816.0,E T Consultant,10.0,1,1,World Bank Group,LA,4.1,0,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,yr,4.454545454545454,7.5
$24.00 /hr (est.),49920.0,"PT Field Consultant I - Monterey/Santa Cruz County, CA",0.0,1,1,EXL Services,LA,3.8,0,24.0,10000+ Employees,1999,Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.3,3.6,3.5,3.7,hr,7.0,7.0
"$117,500 /yr (est.)",117500.0,Data Science Consultant Level II,5.0,2,1,Pandata,Remote,4.033333333333333,1,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,yr,4.454545454545454,7.5
"$90,997 /yr (est.)",90997.0,Sr. Data Strategist,2.8666666666666667,-1,-1,"Wheels, Inc.",LA,3.4,0,84.0,501 to 1000 Employees,1939,Private,Taxi & Car Services,Transportation & Logistics,$1 to $5 billion (USD),3.2,2.9,3.7,3.3,3.1,yr,4.0,7.0
$43.50 /hr (est.),90480.0,CONTENT STRATEGIST II (HYBRID),0.0,1,-1,Cella,LA,4.4,0,35.0,201 to 500 Employees,1988,Public,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),4.5,4.1,4.7,4.5,4.8,hr,3.0,6.0
$27.69 /hr (est.),57595.2,Data Strategist,4.0,1,0,Advia Credit Union,LA,3.9,0,9.0,501 to 1000 Employees,2014,Nonprofit Organization,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.5,3.8,3.9,3.4,4.2,hr,4.0,7.285714285714286
"$52,801 /yr (est.)",52801.0,Instructional Core: Testing Coordinator + Data Strategist,0.0,2,1,Chicago Public Schools,LA,3.3,0,140.0,10000+ Employees,1883,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable,3.6,3.7,3.1,2.7,3.0,yr,7.0,7.285714285714286
"$73,000 /yr (est.)",73000.0,"Data Strategist, Internal Audit & Compliance",5.0,1,1,Chicago Public Schools,LA,3.3,0,140.0,10000+ Employees,1883,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable,3.6,3.7,3.1,2.7,3.0,yr,7.0,7.285714285714286
"$119,483 /yr (est.)",119483.0,Senior Data Strategist,10.0,1,1,Johns Hopkins Applied Physics Laboratory (APL),LA,4.3,0,81.0,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),4.1,4.0,4.2,3.6,4.4,yr,6.0,7.0
"$98,515 /yr (est.)",98515.0,UX Strategist,2.8666666666666667,-1,-1,Vanguard,LA,3.7,0,48.0,10000+ Employees,1975,Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,3.4,3.8,3.2,3.8,yr,7.0,7.285714285714286
"$82,500 /yr (est.)",82500.0,Content Strategist,5.0,1,1,Nox Health,LA,4.0,0,66.42857142857143,-1,-1,Private,-1,-1,-1,4.1,3.5,4.3,3.9,4.2,yr,5.071428571428571,7.285714285714286
"$56,222 /yr (est.)",56222.0,Content Strategist,0.0,1,1,AdShark Marketing,LA,5.0,0,66.42857142857143,-1,-1,Private,-1,-1,-1,5.0,4.5,5.0,5.0,5.0,yr,5.071428571428571,7.285714285714286
"$90,997 /yr (est.)",90997.0,Sr. Data Strategist,0.0,1,1,"Wheels, Inc.",LA,3.4,0,84.0,501 to 1000 Employees,1939,Private,Taxi & Car Services,Transportation & Logistics,$1 to $5 billion (USD),3.2,2.9,3.7,3.3,3.1,yr,4.0,7.0
$20.90 /hr (est.),43472.0,Test Publishing Quality Assurance Analyst,2.0,1,1,Pearson,LA,3.7,0,179.0,10000+ Employees,1844,Public,Publishing,Media & Communication,$5 to $10 billion (USD),3.4,3.5,3.8,3.3,4.0,hr,7.0,8.0
"$92,357 /yr (est.)",92357.0,QA Engineer - Remote,2.0,1,1,Genome,LA,3.8,0,66.42857142857143,-1,-1,Private,-1,-1,-1,3.9,3.2,3.9,3.4,3.2,yr,5.071428571428571,7.285714285714286
$62.50 /hr (est.),130000.0,Product Marketing Manager (Contractor) (Remote),3.0,2,1,Tripadvisor,LA,3.8,0,23.0,1001 to 5000 Employees,2000,Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),3.3,3.9,4.0,3.4,3.8,hr,5.0,7.0
"$100,000 /yr (est.)",100000.0,Cloud Manager,2.8666666666666667,-1,-1,4 Arrows,Remote,3.8705882352941177,1,66.42857142857143,-1,-1,Private,-1,-1,-1,3.7411764705882353,3.6647058823529415,3.929411764705882,3.529411764705882,3.841176470588235,yr,5.071428571428571,7.285714285714286
"$60,000 /yr (est.)",60000.0,Email Marketing Specialist,3.0,1,1,iMarket Solutions,Remote,3.5,1,13.0,1 to 50 Employees,2010,Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.3,2.7,3.7,3.3,3.4,yr,1.0,7.285714285714286
"$208,000 /yr (est.)",208000.0,Lead Technical Product Manager: Transportation (Remote Option*),0.0,1,1,Nike,LA,4.2,0,51.0,10000+ Employees,1972,Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,yr,7.0,9.0
"$43,448 /yr (est.)",43448.0,QA Test Lead,2.0,2,1,White Hat Gaming,Remote,3.9,1,11.0,501 to 1000 Employees,2012,Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.7,4.0,3.7,3.8,4.6,yr,4.0,7.285714285714286
"$129,316 /yr (est.)",129316.0,QA Manager,7.0,2,1,Epic Games,LA,4.2,0,32.0,1001 to 5000 Employees,1991,Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,yr,5.0,7.285714285714286
"$100,000 /yr (est.)",100000.0,Data Analyst,5.0,2,1,Network Coverage,Remote,3.3,1,27.0,51 to 200 Employees,1996,Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,3.5,3.4,3.2,3.3,yr,2.0,4.5
"$50,000 /yr (est.)",50000.0,Data Analyst,0.0,1,-1,Signals,LA,4.1,0,23.636363636363637,-1,-1,Private,-1,-1,-1,3.6,3.3,4.0,4.0,4.3,yr,3.6363636363636362,4.5
"$67,259 /yr (est.)",67259.0,Assistant Data Analyst/Data Analyst,0.0,1,1,AIPSO,LA,3.9,0,51.0,201 to 500 Employees,1972,Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,3.4,3.4,3.9,3.3,4.7,yr,3.0,4.5
$75.00 /hr (est.),156000.0,Data / Information Management Analyst,10.0,1,0,Techsara solutions,LA,4.012499999999999,0,23.636363636363637,-1,-1,Private,-1,-1,-1,3.8874999999999997,3.8499999999999996,4.00625,3.7687500000000003,3.86875,hr,3.6363636363636362,4.5
"$84,643 /yr (est.)",84643.0,Data Analyst,3.6,-1,-1,"Kyocera International, Inc.",LA,3.2,0,64.0,10000+ Employees,1959,Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),2.9,3.0,3.2,2.8,3.1,yr,7.0,9.0
"$117,300 /yr (est.)",117300.0,Data Analyst,3.6,-1,-1,Tencent,LA,4.0,0,25.0,10000+ Employees,1998,Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,yr,7.0,4.5
"$62,500 /yr (est.)",62500.0,Junior Data Analyst,0.0,1,-1,Integrated Real Estate Group,LA,4.1,0,20.0,1001 to 5000 Employees,2003,Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.1,3.9,4.1,4.0,3.9,yr,5.0,4.5
"$55,965 /yr (est.)",55965.0,Jr. Data Analyst ( Full Time ),3.6,-1,-1,RSA Tech,LA,5.0,0,23.636363636363637,-1,-1,Private,-1,-1,-1,5.0,5.0,4.8,5.0,5.0,yr,3.6363636363636362,4.5
"$52,000 /yr (est.)",52000.0,Compliance Data Analyst I,0.0,1,-1,Flagship Credit Acceptance,LA,4.0,0,13.0,1001 to 5000 Employees,2010,Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.7,3.8,4.0,4.0,4.1,yr,5.0,4.5
$37.50 /hr (est.),78000.0,Data Analyst,5.0,2,-1,Advize Health LLC,Remote,3.9,1,23.636363636363637,-1,-1,Private,-1,-1,-1,4.1,3.8,4.0,4.0,4.0,hr,3.6363636363636362,4.5
$55.00 /hr (est.),114400.0,Machine Learning Engineer,10.0,2,-1,Wisdom Soft Inc,LA,5.0,0,23.636363636363637,-1,-1,Private,-1,-1,-1,5.0,4.5,4.7,5.0,5.0,hr,3.6363636363636362,4.5
"$140,566 /yr (est.)",140566.0,Machine Learning Engineer,7.0,1,-1,Sian Consulting Group,LA,4.012499999999999,0,23.636363636363637,-1,-1,Private,-1,-1,-1,3.8874999999999997,3.8499999999999996,4.00625,3.7687500000000003,3.86875,yr,3.6363636363636362,4.5
"$86,500 /yr (est.)",86500.0,Machine Learning Engineer L-1,3.6,-1,-1,Lauretta AI LLC,LA,3.0,0,7.0,1 to 50 Employees,2016,Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.0,3.0,3.0,2.0,2.0,yr,1.0,1.0
"$205,000 /yr (est.)",205000.0,Senior Machine Learning Engineer,0.0,2,-1,Lambda,Remote,4.0,1,23.636363636363637,-1,-1,Private,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,yr,3.6363636363636362,4.5
$60.00 /hr (est.),124800.0,"Immediate need of Python Machine Learning Engineer, 3-6 monthS /(C2H), Remo",5.0,2,1,LotusData,Remote,4.012499999999999,1,23.636363636363637,-1,-1,Private,-1,-1,-1,3.8874999999999997,3.8499999999999996,4.00625,3.7687500000000003,3.86875,hr,3.6363636363636362,4.5
"$134,741 /yr (est.)",134741.0,Lead Game Designer,0.0,1,1,PlayStation Global,LA,3.9,0,29.0,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,yr,6.0,9.0
$42.48 /hr (est.),88358.4,"Combat Designer, Player Abilities - Unannounced Survival Game",3.0,1,0,Blizzard Entertainment,LA,3.6,0,32.0,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.5,2.9,3.8,hr,5.0,7.0
"$80,000 /yr (est.)",80000.0,Game Systems Designer,3.0,1,-1,Bit Fry Game Studios. Inc,Remote,3.9538461538461536,1,25.666666666666668,-1,-1,Private,-1,-1,-1,3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,4.285714285714286,5.7894736842105265
"$83,267 /yr (est.)",83267.0,Game Designer,2.5,-1,-1,Las Vegas Sands Corp.,LA,4.0,0,19.0,10000+ Employees,2004,Public,Hotels & Resorts,Hotels & Travel Accommodation,$10+ billion (USD),3.3,4.2,3.7,3.7,3.4,yr,7.0,9.0
"$134,400 /yr (est.)",134400.0,Senior Game Designer (Economy),2.5,-1,-1,Electronic Arts,LA,4.0,0,41.0,10000+ Employees,1982,Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,yr,7.0,8.0
"$122,826 /yr (est.)",122826.0,Senior Game Designer,2.5,-1,-1,PlayStation Global,LA,3.9,0,29.0,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,yr,6.0,9.0
"$88,500 /yr (est.)",88500.0,Technical Game Designer,0.0,2,-1,thatgamecompany,LA,5.0,0,25.666666666666668,-1,-1,Private,-1,-1,-1,4.7,5.0,5.0,5.0,5.0,yr,4.285714285714286,5.7894736842105265
"$61,982 /yr (est.)",61982.0,"Live Service Game Designer (Systems, Content, Narrative)",0.0,2,-1,BIGBOX VR,LA,3.9538461538461536,0,25.666666666666668,-1,-1,Private,-1,-1,-1,3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,4.285714285714286,5.7894736842105265
"$52,500 /yr (est.)",52500.0,Junior Programmer,0.0,1,0,Sharetec,LA,5.0,0,30.0,51 to 200 Employees,1993,Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,4.0,5.0,5.0,5.0,yr,2.0,5.7894736842105265
"$104,450 /yr (est.)",104450.0,Gameplay Programmer: Ambient Population (All Levels),2.0,1,0,Rockstar Games San Diego & Toronto,LA,4.3,0,25.0,1001 to 5000 Employees,1998,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),4.1,4.3,4.2,3.9,4.0,yr,5.0,3.0
"$173,500 /yr (est.)",173500.0,Gameplay Programmer - Twisted Pixel Games,3.0,1,-1,Oculus,Remote,3.9,1,19.0,10000+ Employees,2004,Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,yr,7.0,9.0
"$215,000 /yr (est.)",215000.0,"Rendering / Graphics Programmer (Unannounced AAA Game, UE5)",3.0,2,-1,Yotta Games,LA,2.6,0,25.666666666666668,-1,-1,Private,-1,-1,-1,2.8,3.3,2.6,2.5,2.4,yr,4.285714285714286,5.7894736842105265
"$51,659 /yr (est.)",51659.0,"Unity Game Programmer, TRADOC G-2",2.5,-1,-1,Yorktown Systems Group,LA,4.2,0,25.666666666666668,-1,-1,Private,-1,-1,-1,3.3,4.2,4.2,4.0,3.8,yr,4.285714285714286,5.7894736842105265
"$97,428 /yr (est.)",97428.0,Gameplay Programmer - DUNE,2.5,-1,-1,Funcom,LA,3.3,0,30.0,201 to 500 Employees,1993,Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.0,3.0,3.4,2.8,3.4,yr,3.0,3.0
"$78,839 /yr (est.)",78839.0,UI Programmer,2.5,-1,-1,Ember Lab,LA,3.1,0,25.666666666666668,-1,-1,Private,-1,-1,-1,1.7,3.1,3.3,3.3,5.0,yr,4.285714285714286,5.7894736842105265
"$81,936 /yr (est.)",81936.0,Graphics Programmer,3.0,1,-1,PlayStation Global,LA,3.9,0,29.0,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,yr,6.0,9.0
"$60,000 /yr (est.)",60000.0,3D Character Artist,3.0,2,1,Spacetime Studios,Remote,3.9538461538461536,1,25.666666666666668,-1,-1,Private,-1,-1,-1,3.5759999999999996,3.7479999999999993,3.9440000000000004,3.588,3.9760000000000004,yr,4.285714285714286,5.7894736842105265
