Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$47,956 /yr (est.)",47956.0,Know Your Client (KYC) Quality Assurance (QA) and Testing - Associate,0,1,0,"Deutsche Bank
3.9","Jacksonville, FL",3.9,0,153,10000+ Employees,1870,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.7,3.6,3.8,3.5,3.8,2023-06-06 00:55:49.296356,yr
"$61,144 /yr (est.)",61144.0,QA Automation Testing Engineer,3,1,1,"Wovenware
3.6","San Juan, PR",3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.2,4.0,3.4,3.4,2023-06-06 00:55:51.939323,yr
$45.00 /hr (est.),93600.0,Sr QA (Spanish),8,1,1,"Pinnacle Technical Resources
3.2",California,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.3,3.0,3.7,3.7,4.3,2023-06-06 00:55:55.492842,hr
"$100,000 /yr (est.)",100000.0,Oracle OBIEE/OBIA Systems Administrator,-1,-1,-1,"Custom Software Systems, Inc.
4.3","Arlington, VA",4.3,0,33,1 to 50 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.3,4.7,5.0,5.0,4.9,2023-06-06 00:56:02.806114,yr
"$75,080 /yr (est.)",75080.0,Business Systems Analyst,6,1,0,"University of California, Santa Barbara
4.2","Santa Barbara, CA",4.2,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,4.1,3.8,4.0,2023-06-06 00:56:04.942006,yr
"$79,642 /yr (est.)",79642.0,QA Analyst II,7,1,0,"Underwriting Solutions
3.8","Jersey City, NJ",3.8,0,52,5001 to 10000 Employees,1971,Company - Public,Research & Development,Management & Consulting,$1 to $5 billion (USD),3.6,3.4,3.9,3.4,4.2,2023-06-06 00:56:08.964929,yr
"$96,631 /yr (est.)",96631.0,MES QA Test Lead,-1,-1,-1,"Creative Information Technology India
3.1","Falls Church, VA",3.1,0,27,51 to 200 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.9,2.9,2.8,2.7,2.8,2023-06-06 00:56:11.965446,yr
"$93,546 /yr (est.)",93546.0,Senior Mobile Tester,5,1,0,"Velentium LLC
3.4","Houston, TX",3.4,0,11,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $25 million (USD),3.6,3.3,3.3,2.9,3.4,2023-06-06 00:56:14.161753,yr
"$131,331 /yr (est.)",131331.0,Principal Software Engineer,7,1,1,"DTCC
3.7","Tampa, FL",3.7,0,50,5001 to 10000 Employees,1973,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,3.5,3.8,3.7,3.4,3.8,2023-06-06 00:56:16.794508,yr
"$129,448 /yr (est.)",129448.0,Alfresco Developer,5,2,1,"ProIT Inc.
4.9","Irvine, CA",4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.7,4.9,4.7,2023-06-06 00:56:19.680011,yr
"$87,792 /yr (est.)",87792.0,Full Stack .Net Developer,10,2,1,"MSi Workforce Solutions
3.5","Chattanooga, TN",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,2.0,3.5,2.5,2.5,2023-06-06 00:56:23.237088,yr
"$63,259 /yr (est.)",63259.0,Quality Assurance Analyst,3,1,1,"Hoverstate 2.0, INC
3.5","Seattle, WA",3.5,0,15,51 to 200 Employees,2008,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),3.5,3.3,4.0,3.6,3.6,2023-06-06 00:56:26.672548,yr
"$69,992 /yr (est.)",69992.0,Business Systems Analyst II,-1,-1,-1,"The Western Reserve Group
3.3","Wooster, OH",3.3,0,117,201 to 500 Employees,1906,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.2,3.8,3.0,2.8,3.0,2023-06-06 00:56:36.998526,yr
"$93,875 /yr (est.)",93875.0,Manual QA / Test Lead,10,2,0,"TalentMovers
4.4","Plano, TX",4.4,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.2,4.4,4.3,4.4,2023-06-06 00:56:39.106168,yr
"$60,105 /yr (est.)",60105.0,User Acceptance Tester – UAT(Bilingual),3,1,-1,"eSystems Inc.
4.0","Little Rock, AR",4.0,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.7,3.7,3.6,3.6,3.3,2023-06-06 00:56:47.006165,yr
"$88,375 /yr (est.)",88375.0,SR. .NET,10,2,1,"Intone Networks
4.3","Des Moines, IA",4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.2,4.2,3.6,4.2,2023-06-06 00:56:49.602665,yr
"$109,977 /yr (est.)",109977.0,Alfresco Developer,10,2,1,"PRO IT
4.9","Irvine, CA",4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.6,4.7,4.9,4.7,2023-06-06 00:56:52.902565,yr
"$81,217 /yr (est.)",81217.0,Ruby on Rails Developer,3,2,-1,"Steampunk
4.5","McLean, VA",4.5,0,20,201 to 500 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.5,4.3,4.4,2023-06-06 00:56:56.259647,yr
"$99,630 /yr (est.)",99630.0,Software Development Engineer in Test II,3,1,0,"HCA Healthcare
3.3","Nashville, TN",3.3,0,55,10000+ Employees,1968,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.5,3.2,3.3,3.0,3.2,2023-06-06 00:56:59.273899,yr
"$105,000 /yr (est.)",105000.0,Software Test Engineer,1,1,-1,"Systems Planning and Analysis, Inc.
4.5","San Diego, CA",4.5,0,51,1001 to 5000 Employees,1972,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.3,4.6,4.4,4.7,2023-06-06 00:57:02.314686,yr
"$100,000 /yr (est.)",100000.0,Quality Analyst,5,1,1,"Project Consulting Group (PCG)
4.0","Stillwater, MN",4.0,0,25,51 to 200 Employees,1998,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.7,3.8,3.8,3.8,4.1,2023-06-06 00:57:05.016697,yr
"$78,818 /yr (est.)",78818.0,Dynamics AX Developer,3,1,-1,"Professional Search Group, Inc.
5.0","Avilla, IN",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.8,5.0,5.0,5.0,2023-06-06 00:57:11.664506,yr
"$47,205 /yr (est.)",47205.0,"Business Apps Analyst I (Onsite position, not remote)",5,1,-1,"Lexington Medical Center
3.9","West Columbia, SC",3.9,0,35,5001 to 10000 Employees,1988,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),3.7,3.7,3.9,3.5,3.7,2023-06-06 00:57:15.239034,yr
"$119,632 /yr (est.)",119632.0,Senior DevOps Engineer,0,2,1,Crop Circle Games,"New Orleans, LA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:57:18.287326,yr
$35.35 /hr (est.),73528.0,Tool Designer,0,2,0,"Saint Gobain
4.1","Williamsport, MD",4.1,0,358,10000+ Employees,1665,Company - Public,Construction,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.7,3.7,4.0,3.6,3.8,2023-06-06 00:57:23.926850,hr
"$66,228 /yr (est.)",66228.0,User Acceptance Test Lead,5,1,1,"eSystems Inc.
4.0","Little Rock, AR",4.0,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.7,3.7,3.6,3.6,3.3,2023-06-06 00:57:26.782903,yr
$49.50 /hr (est.),102960.0,IT SR.Net Developer (IA84),10,2,-1,Resource Management Associates LLC.,"Des Moines, IA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:57:37.371508,hr
"$53,888 /yr (est.)",53888.0,Assistive Technology Specialist,0,1,1,"Bowhead
3.6","Lanham, MD",3.6,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.4,3.2,3.6,3.4,4.0,2023-06-06 00:57:42.876991,yr
"$156,400 /yr (est.)",156400.0,Professional Salesforce Test Engineer,3,1,1,"AT&T
3.7","Dallas, TX",3.7,0,147,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,4.0,3.4,3.1,3.3,2023-06-06 00:57:53.810809,yr
"$69,261 /yr (est.)",69261.0,Techno-Functional Consultant,5,1,1,"Anjani Etech Solutions
4.1","Sterling Heights, MI",4.1,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.2,3.9,3.7,3.5,2023-06-06 00:58:03.756098,yr
"$136,300 /yr (est.)",136300.0,Occupant Packaging Ergonomist - PACCAR North Texas,5,1,1,"PACCAR
3.6","Lewisville, TX",3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-06 00:58:12.200778,yr
"$178,627 /yr (est.)",178627.0,Head/Director of QA,10,2,-1,"BoostUp.ai
4.1","San Francisco, CA",4.1,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.4,3.4,5.0,5.0,2023-06-06 00:58:24.229193,yr
"$105,000 /yr (est.)",105000.0,User Experience Designer,5,1,1,"Walmart
3.3","San Bruno, CA",3.3,0,61,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),3.3,3.3,3.1,2.8,3.0,2023-06-06 00:58:35.613529,yr
"$107,150 /yr (est.)",107150.0,"Digital Solutions Experience Designer, Mid",-1,-1,-1,"Booz Allen Hamilton
4.2","Norfolk, VA",4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-06-06 00:58:38.656926,yr
"$76,903 /yr (est.)",76903.0,Business Analyst,0,1,1,"SafeNet Consulting
4.4","Milwaukee, WI",4.4,0,29,51 to 200 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.2,4.2,4.2,4.1,4.7,2023-06-06 00:58:41.514560,yr
"$50,373 /yr (est.)",50373.0,Quality Assurance Analyst,1,1,-1,Essani International,"South Elgin, IL",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:58:44.795997,yr
"$96,277 /yr (est.)",96277.0,"Senior Engineer, Software QA Engineering",7,1,-1,"Analog Devices
4.1","Raleigh, NC",4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,2023-06-06 00:58:50.780180,yr
"$142,500 /yr (est.)",142500.0,Senior Software Engineer,10,1,1,"Tlingit Haida Tribal Business Corporation
3.9","Dayton, OH",3.9,0,36,1001 to 5000 Employees,1987,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),3.9,3.9,3.8,3.7,3.9,2023-06-06 00:58:53.989230,yr
"$55,000 /yr (est.)",55000.0,Digital Solutions | Software Quality Assurance Associate,2,2,0,"TELUS
3.7",Missouri,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.3,3.6,3.3,3.6,2023-06-06 00:58:58.284297,yr
"$64,066 /yr (est.)",64066.0,BUSINESS ANALYST (BA3),7,2,1,TRA'BIAN ENTERPRISES,"Harrisburg, PA",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:59:02.129691,yr
"$124,399 /yr (est.)",124399.0,Research Engineer (UI/UX),0,2,0,"Cerence
3.6","Farmington Hills, MI",3.6,0,4,1001 to 5000 Employees,2019,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.3,3.3,3.4,3.0,3.6,2023-06-06 00:59:07.989740,yr
"$103,458 /yr (est.)",103458.0,Android Developer,9,1,-1,Tek Hire Solutions,"Houston, TX",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:59:11.385669,yr
