Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$84,169 /yr (est.)",84169.0,React Developer,3,2,-1,Steampunk, VA,4.5,0,20,201 to 500 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.5,4.3,4.4,2023-06-06 01:03:13.625520,yr
"$50,000 /yr (est.)",50000.0,Software Quality Assurance Engineer,1,1,0,University of Maryland, MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,3.9,2023-06-06 01:03:15.961532,yr
$41.50 /hr (est.),86320.0,Software Tester,6,2,0,Ehub Global solution, CO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:03:18.508560,hr
"$85,000 /yr (est.)",85000.0,QA Tester II,-1,-1,-1,UST Xpanxion,Remote,3.9,1,24,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,3.9,2023-06-06 01:03:23.782316,yr
"$120,000 /yr (est.)",120000.0,Oracle Database Administrator (DBA),10,1,1,iQuasar LLC, VA,4.6,0,19,1 to 50 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.5,4.0,4.5,4.3,4.5,2023-06-06 01:03:25.718416,yr
$26.50 /hr (est.),55120.0,Software Tester Level II,-1,-1,-1,Advantage Route Systems, CA,4.2,0,29,1 to 50 Employees,1994,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.8,3.4,4.2,3.8,4.1,2023-06-06 01:03:28.120934,hr
"$115,664 /yr (est.)",115664.0,"UiPath DevOps Engineer- Charlotte, NC (Onsite 100%)",10,2,-1,Techprism.inc, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:03:30.878718,yr
"$79,452 /yr (est.)",79452.0,Automation Tester,5,1,-1,TAA Solutions LLC, MD,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-06 01:03:42.390947,yr
"$98,616 /yr (est.)",98616.0,Performance Tester,9,1,1,Cognizant, CA,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.3,3.5,2023-06-06 01:03:50.238316,yr
$37.35 /hr (est.),77688.0,Pharmaceutical Development Technician,0,2,0,Bristol Myers Squibb, NJ,3.9,0,165,10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,3.8,3.4,3.8,2023-06-06 01:03:52.825641,hr
"$78,286 /yr (est.)",78286.0,Jr Software Engineer,1,1,1,Convr, IL,4.8,0,7,1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,3.8,4.5,4.4,4.1,2023-06-06 01:04:03.093715,yr
$75.00 /hr (est.),156000.0,"CC&B, Business Analyst",5,1,1,Strivernet RPO Services Ltd,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:04:05.880849,hr
"$72,204 /yr (est.)",72204.0,Sr Tester,0,2,0,Lionbridge Technologies, ID,3.6,0,27,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.2,3.0,3.5,3.2,3.9,2023-06-06 01:04:11.315389,yr
$55.50 /hr (est.),115440.0,Quality Assurance Analyst/Tester,5,1,-1,Infologitech, OH,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.1,4.1,4.3,4.3,4.1,2023-06-06 01:04:13.925848,hr
$52.50 /hr (est.),109200.0,OSS BSS ETL Tester #23-00016,0,1,-1,Abode Techzone LLC, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:04:20.897087,hr
$46.50 /hr (est.),96720.0,Sr. ETL Tester (W2),11,2,-1,Telnet Inc,Remote,3.5,1,-1,-1,-1,-1,-1,-1,-1,3.0,2.9,3.2,3.6,3.2,2023-06-06 01:04:26.764709,hr
"$69,358 /yr (est.)",69358.0,NETWORK ADMINISTRATOR Grade 20,0,1,1,"Fulton County, GA",United States,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.3,3.1,3.2,2023-06-06 01:04:30.326269,yr
"$93,727 /yr (est.)",93727.0,QA- API Tester,4,2,-1,IBaseIT, VA,4.2,0,12,201 to 500 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.2,3.8,4.3,4.2,3.7,2023-06-06 01:04:41.297689,yr
"$88,750 /yr (est.)",88750.0,Jr. Web Developer,3,1,0,webfx.com, MI,4.2,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.0,2023-06-06 01:04:47.465493,yr
"$81,685 /yr (est.)",81685.0,Performance / Automation Tester,0,2,-1,Insight Systems Corporation, VA,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.8,3.4,3.2,3.6,2023-06-06 01:04:50.266812,yr
"$4,956 /mo (est.)",59472.0,Functional Test Analyst – Software Tester,1,1,1,Dept of Family & Protectve Svc, TX,3.2,0,111,10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.3,3.0,2.8,3.0,2023-06-06 01:04:53.830191,mo
"$65,821 /yr (est.)",65821.0,Sr. QA Tester,6,1,-1,HarmonyTech, VA,5.0,0,9,51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5.0,4.6,5.0,5.0,5.0,2023-06-06 01:04:56.539332,yr
"$105,000 /yr (est.)",105000.0,Software Test Engineer,8,1,-1,Rays TechServ Pvt. Ltd.,Remote,3.8,1,21,Unknown,2002,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.5,3.3,3.5,3.5,3.5,2023-06-06 01:04:59.662383,yr
"$76,159 /yr (est.)",76159.0,Quality Analyst/Automation Tester,0,1,1,Truist Bank, NC,3.5,0,4,10000+ Employees,2019,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.4,3.7,3.4,3.0,3.3,2023-06-06 01:05:02.905621,yr
"$110,000 /yr (est.)",110000.0,Oracle Database Engineer,10,1,1,Agree Technologies and Solutions, OR,5.0,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.6,5.0,5.0,4.3,2023-06-06 01:05:09.979580,yr
"$5,671 /mo (est.)",68052.0,Test Analyst - 100% remote in Texas,-1,-1,-1,Health & Human Services Comm, TX,3.2,0,111,10000+ Employees,1912,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.3,3.0,2.8,3.0,2023-06-06 01:05:13.376558,mo
$33.00 /hr (est.),68640.0,Software Test Engineer,1,1,0,Beyondsoft Consulting,United States,3.2,0,19,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.9,2.7,3.2,2.9,3.7,2023-06-06 01:05:15.560446,hr
"$98,616 /yr (est.)",98616.0,Performance Tester,9,1,1,Cognizant Technology Solutions, CA,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.3,3.5,2023-06-06 01:05:18.397475,yr
"$62,085 /yr (est.)",62085.0,QA-Analyst,6,1,-1,Celandyne Software Solutions, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:05:21.068335,yr
"$88,750 /yr (est.)",88750.0,Jr Software Engineer,3,1,0,webfx.com, MI,4.2,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.0,2023-06-06 01:05:26.757873,yr
"$115,664 /yr (est.)",115664.0,UiPath DevOps Engineer,-1,-1,-1,Wingsoft Consulting LLC, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:05:29.781454,yr
"$112,000 /yr (est.)",112000.0,Software Developer,-1,-1,-1,Peraton, VA,3.6,0,6,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.4,3.6,3.4,3.3,3.8,2023-06-06 01:05:35.597954,yr
"$65,301 /yr (est.)",65301.0,Software Tester,2,1,1,Chenega MIOS, MD,3.4,0,18,1001 to 5000 Employees,2005,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.6,3.9,3.6,3.5,3.9,2023-06-06 01:05:46.691488,yr
"$84,566 /yr (est.)",84566.0,Performance Tester,3,2,-1,Apexon, CA,4.1,0,27,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.7,3.9,3.8,4.0,2023-06-06 01:05:49.756217,yr
