Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$89,096 /yr (est.)",89096.0,Artificial Intelligence and Cybersecurity Researcher,8,1,-1,Argonne National Laboratory, IL,4.4,0,77,1001 to 5000 Employees,1946,Government,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.9,4.0,4.2,3.9,4.3,2023-06-05 13:01:01.377699,yr
"$125,100 /yr (est.)",125100.0,Assistant Research Scientist AI Ethics Center for Human Compatible Artificial Intelligence,0,1,0,University of California Berkeley, CA,4.2,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.2,4.2,4.2,2023-06-05 13:01:03.150478,yr
"$105,086 /yr (est.)",105086.0,Artificial intelligence / Machine Learning Engineer,8,1,1,Cotocus, CA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.2,4.1,4.3,4.2,2023-06-05 13:01:08.634478,yr
"$135,046 /yr (est.)",135046.0,Artificial Intelligence Performance Engineer,5,1,-1,"Advanced Micro Devices, Inc", CA,4.2,0,54,10000+ Employees,1969,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.2,3.7,4.2,3.9,3.9,2023-06-05 13:01:11.120328,yr
"$117,948 /yr (est.)",117948.0,Artificial Intelligence - Computational Linguist,0,2,-1,VASS IT, MA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.0,3.1,3.0,3.6,2023-06-05 13:01:12.781787,yr
"$40,000 /yr (est.)",40000.0,Content Writer,5,1,1,Beyond Marketing,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:01:15.336688,yr
"$94,291 /yr (est.)",94291.0,Post Doctoral Fellow - Artificial Intelligence/Machine Learning,0,1,0,Emory University, GA,4.2,0,49,10000+ Employees,1974,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.7,4.1,3.7,4.0,2023-06-05 13:01:20.074047,yr
"$75,000 /yr (est.)",75000.0,Support Engineer - Commercial,0,1,-1,Lambda,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,2023-06-05 13:01:21.750545,yr
