Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$67,240 /yr (est.)",67240.0,Instructional Designer,3,1,1,Academy of Art University,Remote,3.4,1,94,1001 to 5000 Employees,1929,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,2.8,3.0,2.9,2.7,3.5,2023-06-03 22:02:09.189419,yr
"$69,000 /yr (est.)",69000.0,Senior Training & Development Specialist,3,1,0,University of Colorado Boulder, CO,3.8,0,147,10000+ Employees,1876,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.3,3.5,3.7,3.3,3.6,2023-06-03 22:02:16.257364,yr
"$69,750 /yr (est.)",69750.0,Employee Training & Development Specialist,3,1,1,University of Nebraska Medical Center, NE,4.0,0,154,5001 to 10000 Employees,1869,College / University,Colleges & Universities,Education,$5 to $25 million (USD),3.6,3.8,3.6,3.3,3.5,2023-06-03 22:02:19.485336,yr
"$73,506 /yr (est.)",73506.0,TRAINING AND DEVELOPMENT SPECIALIST,0,1,1,BI Labs, NJ,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.6,2.5,4.0,3.8,3.5,2023-06-03 22:02:22.649655,yr
"$66,915 /yr (est.)",66915.0,Training and Development Specialist,3,1,1,Chenega Corporation, DC,3.4,0,49,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.1,3.5,3.4,3.4,3.7,2023-06-03 22:02:26.375456,yr
"$57,177 /yr (est.)",57177.0,Training Specialist,2,1,1,Nestlé Purina Pet Care, IA,3.8,0,129,10000+ Employees,1894,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,3.9,3.6,3.2,3.3,2023-06-03 22:02:29.495877,yr
"$89,907 /yr (est.)",89907.0,Senior Training Specialist,0,1,1,ABBVIE, IL,3.9,0,10,10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,3.8,3.5,3.6,2023-06-03 22:02:32.435433,yr
"$87,200 /yr (est.)",87200.0,Learning and Organizational Development Educator,3,1,1,Northwell Health, NY,4.0,0,26,10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.8,3.9,3.5,3.5,2023-06-03 22:02:35.516095,yr
"$75,000 /yr (est.)",75000.0,Enrollment Specialist---TRAINING PROVIDED!!!,1,2,0,Aflac, FL,3.8,0,68,10000+ Employees,1955,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.7,3.8,3.9,3.5,3.8,2023-06-03 22:02:51.888825,yr
"$81,011 /yr (est.)",81011.0,Learning Facilitator Trainer - REMOTE,5,1,0,Molina Healthcare, CA,3.4,0,43,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.2,3.5,3.4,3.0,3.4,2023-06-03 22:02:55.052992,yr
"$67,240 /yr (est.)",67240.0,Instructional Designer,3,1,1,Academy of Art University,Remote,3.4,1,94,1001 to 5000 Employees,1929,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,2.8,3.0,2.9,2.7,3.5,2023-06-03 22:02:58.223662,yr
"$60,000 /yr (est.)",60000.0,Training Specialist (Remote),2,1,1,Maximus,Remote,3.3,1,48,10000+ Employees,1975,Company - Public,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),3.2,3.2,3.2,3.1,3.4,2023-06-03 22:03:01.225867,yr
"$134,000 /yr (est.)",134000.0,Learning and Development Lead,5,1,1,"Gametime United, Inc.",Remote,4.5,1,10,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4.3,4.2,4.5,4.2,4.5,2023-06-03 22:03:04.576427,yr
"$55,292 /yr (est.)",55292.0,Veterans Education and Training Specialist,6,1,1,State of Montana,Montana,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.5,3.2,2.5,2.2,3.0,2023-06-03 22:03:07.806025,yr
"$70,412 /yr (est.)",70412.0,Learning & Development Manager,0,1,1,Disney, HI,3.9,0,100,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 22:03:11.878831,yr
"$65,377 /yr (est.)",65377.0,Learning and Development Specialist,5,1,1,Phillips 66, TX,3.5,0,11,10000+ Employees,2012,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.1,4.0,3.2,2.8,3.0,2023-06-03 22:03:14.964933,yr
