Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$48.41 /hr (est.),100692.8,Technical Support Engineer- Remote,0,1,-1,Splunk,Remote,3.9,1,20,5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.7,4.2,4.0,3.5,4.0,2023-06-03 21:03:07.975585,hr
"$92,500 /yr (est.)",92500.0,Software QA/Test Engineer,5,1,1,Travel Zap Inc.,Remote,4.6,1,11,51 to 200 Employees,2012,Company - Private,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable,4.3,4.1,4.7,4.5,4.5,2023-06-03 21:03:10.926632,yr
"$113,977 /yr (est.)",113977.0,Staff Computer Vision Deep Learning Engineer,0,1,-1,"Applied Research Associates, Inc", NC,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,2023-06-03 21:03:21.466027,yr
"$88,055 /yr (est.)",88055.0,Software Engineer - Front End,0,1,-1,Schweitzer Engineering Laboratories, WA,4.0,0,39,1001 to 5000 Employees,1984,Company - Private,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD),3.9,3.8,4.1,3.7,3.6,2023-06-03 21:03:24.126760,yr
"$77,256 /yr (est.)",77256.0,Associate Software Engineer,-1,-1,-1,Erie Insurance, PA,4.0,0,98,5001 to 10000 Employees,1925,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),3.9,3.9,4.1,3.6,4.0,2023-06-03 21:03:26.902413,yr
"$109,905 /yr (est.)",109905.0,Data Engineer (Remote/Virtual),2,1,1,Grainger,Illinois,4.1,0,96,10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.9,4.1,4.1,3.8,3.9,2023-06-03 21:03:29.173097,yr
"$68,873 /yr (est.)",68873.0,Front End Software Engineer,4,1,-1,The Boring Company, TX,3.2,0,6,51 to 200 Employees,2017,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.5,3.5,3.1,2.9,2.6,2023-06-03 21:03:32.009807,yr
"$180,000 /yr (est.)",180000.0,Senior Machine Learning / Computer Vision Engineer,3,1,1,OffWorld, CA,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.5,3.1,1.0,3.0,2023-06-03 21:03:34.839946,yr
"$107,128 /yr (est.)",107128.0,"Senior Research Scientist – AI, Computer Vision, Machine Learning",3,1,1,BlueHalo, MD,4.1,0,3,Unknown,2020,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.9,3.9,4.0,3.8,4.4,2023-06-03 21:03:38.740676,yr
"$77,500 /yr (est.)",77500.0,Senior Technical Support Engineer,4,1,1,"XceedIT, Inc.",Remote,5.0,1,14,1 to 50 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),5.0,5.0,5.0,5.0,5.0,2023-06-03 21:03:41.579698,yr
"$161,975 /yr (est.)",161975.0,Machine Learning Engineer - Computer Vision,3,1,0,TikTok, WA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,2023-06-03 21:03:44.497737,yr
"$176,950 /yr (est.)",176950.0,(Sr/Staff) Algorithm Engineer - Computer Vision,2,1,0,Noah Medical, CA,4.0,0,5,51 to 200 Employees,2018,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,3.4,3.8,4.3,3.7,2023-06-03 21:03:47.484094,yr
"$121,022 /yr (est.)",121022.0,Machine Learning Engineer- Computer Vision,0,1,-1,STR, MA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,2023-06-03 21:03:54.960556,yr
"$127,433 /yr (est.)",127433.0,Machine Learning Engineer - Computer Vision and Geospatial Analytics,5,1,1,Buzz Solutions, CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.2,4.8,4.5,4.8,2023-06-03 21:03:57.808954,yr
"$269,500 /yr (est.)",269500.0,Senior/Staff Software Engineer - Computer Vision,8,2,-1,Zoox, CA,4.1,0,9,1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.8,4.0,3.5,3.5,2023-06-03 21:04:05.614240,yr
"$140,000 /yr (est.)",140000.0,Machine Learning and Robotics Research Engineer,0,1,-1,OffWorld, CA,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.5,3.1,1.0,3.0,2023-06-03 21:04:08.766606,yr
