Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$79,773 /yr (est.)",79773.0,3D Character Artist (mid to senior),3,1,1,Super Evil Megacorp, CA,3.8,0,11,51 to 200 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,2023-06-03 21:10:57.725777,yr
"$83,213 /yr (est.)",83213.0,Senior Environment Artist,7,1,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 21:11:04.339134,yr
"$87,813 /yr (est.)",87813.0,SENIOR 3D ARTIST,3,1,1,MunkyFun, CA,5.0,0,15,1 to 50 Employees,2008,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.5,5.0,5.0,4.5,5.0,2023-06-03 21:11:10.428794,yr
"$63,033 /yr (est.)",63033.0,VISUAL EFFECTS ARTIST,0,1,-1,Traega Entertainment, TN,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.4,4.0,2.7,2.7,4.7,2023-06-03 21:11:13.185176,yr
"$62,600 /yr (est.)",62600.0,"Senior Character Artist - New World, New World",5,1,0,Amazon.com Services LLC, CA,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-03 21:11:16.721337,yr
"$81,260 /yr (est.)",81260.0,Senior 3D Artist,3,1,-1,Pure Bang Games, MD,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:11:19.527209,yr
"$118,196 /yr (est.)",118196.0,Senior Character Artist,5,1,1,BIGBOX VR, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:11:25.184779,yr
"$110,431 /yr (est.)",110431.0,Senior 3D Character Artist - Battle Arena,7,1,1,Zynga, TX,4.4,0,16,1001 to 5000 Employees,2007,Company - Public,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),4.3,4.1,4.6,3.9,4.3,2023-06-03 21:11:30.716887,yr
"$105,000 /yr (est.)",105000.0,Senior Environment Artist,5,1,1,SKYBOUND LLC,Remote,3.3,1,13,51 to 200 Employees,2010,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.7,2.5,2.6,2.6,2.4,2023-06-03 21:11:33.689221,yr
"$79,636 /yr (est.)",79636.0,VISUAL DESIGNER,0,1,-1,Pixels 360, MA,3.6,0,19,1 to 50 Employees,2004,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.3,3.3,3.0,3.6,2.9,2023-06-03 21:11:40.473309,yr
"$48,278 /yr (est.)",48278.0,Scenic Artist- Themed Environment,2,2,-1,DCL Design Communications, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:11:43.079224,yr
$28.50 /hr (est.),59280.0,Gameplay Animator,-1,-1,-1,SKYBOUND LLC,Remote,3.3,1,13,51 to 200 Employees,2010,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.7,2.5,2.6,2.6,2.4,2023-06-03 21:11:59.366387,hr
"$162,500 /yr (est.)",162500.0,Senior Character Artist,5,1,1,Striking Distance Studios, CA,4.0,0,4,201 to 500 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.5,3.9,3.5,4.2,2023-06-03 21:12:06.510637,yr
