Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$61,920 /yr (est.)",61920.0,"Community Manager & Staff Scientist, Flywire",0,1,1,Princeton University, NJ,4.5,0,277,5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,4.1,4.2,4.2,3.8,3.9,2023-06-03 23:16:03.841520,yr
"$152,150 /yr (est.)",152150.0,Senior Researcher,0,1,1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 23:16:13.694815,yr
$52.00 /hr (est.),108160.0,Product Designer (Mid-Level Contract-to-hire),0,1,0,Sleeper,Washington State,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 23:16:15.982567,hr
$63.00 /hr (est.),131040.0,Senior Product Designer (Contract-to-hire),-1,-1,-1,Sleeper,California,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 23:16:19.492048,hr
"$90,000 /yr (est.)",90000.0,Sector Strategic Planning,0,2,-1,Medidata Solutions, NY,4.2,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.0,4.1,4.3,3.9,4.2,2023-06-03 23:16:22.834426,yr
"$87,204 /yr (est.)",87204.0,Sr. Interactive Media Developer - RISI R & D,7,1,0,Nationwide Children's Hospital, OH,3.9,0,131,10000+ Employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.9,3.2,4.1,3.4,3.7,2023-06-03 23:16:24.973689,yr
"$180,000 /yr (est.)",180000.0,"Sr. Engineer II, Platform Foundations (Remote)",7,1,1,CrowdStrike,Remote,4.2,1,12,1001 to 5000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.0,4.1,4.0,3.8,4.0,2023-06-03 23:16:27.510118,yr
"$256,250 /yr (est.)",256250.0,Sr R&D Engineer,5,1,0,Lowe's, WA,3.5,0,102,1001 to 5000 Employees,1921,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),3.3,3.4,3.3,3.0,3.1,2023-06-03 23:16:29.999786,yr
$37.50 /hr (est.),78000.0,Adjunct Assistant Professor of Interactive Media & Games - Development,7,1,-1,USC, CA,4.3,0,143,10000+ Employees,1880,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.8,4.0,3.9,4.1,2023-06-03 23:16:32.955775,hr
"$76,066 /yr (est.)",76066.0,Computer Vision and Image Data Analytics - Intelligent Systems,2,1,1,"Lynntech, Inc.", TX,3.6,0,36,51 to 200 Employees,1987,Company - Private,Research & Development,Management & Consulting,$5 to $25 million (USD),3.3,2.3,3.5,2.7,3.7,2023-06-03 23:16:35.244726,yr
"$175,000 /yr (est.)",175000.0,"Director, Financial Systems",6,1,1,MarketCast, NY,3.2,0,36,201 to 500 Employees,1987,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.0,2.9,3.3,3.0,3.0,2023-06-03 23:16:38.365617,yr
"$122,748 /yr (est.)",122748.0,Machine Learning Framework Engineer,10,1,0,Comcast, DC,3.8,0,60,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,3.9,3.7,3.4,3.6,2023-06-03 23:16:40.949088,yr
"$81,920 /yr (est.)",81920.0,Machine Learning Engineer - Intelligent Systems,2,1,1,"Lynntech, Inc.", TX,3.6,0,36,51 to 200 Employees,1987,Company - Private,Research & Development,Management & Consulting,$5 to $25 million (USD),3.3,2.3,3.5,2.7,3.7,2023-06-03 23:16:43.565310,yr
"$198,000 /yr (est.)",198000.0,Director of Modeling and Simulation,10,1,1,USC, CA,4.3,0,143,10000+ Employees,1880,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.8,4.0,3.9,4.1,2023-06-03 23:16:46.934065,yr
"$154,551 /yr (est.)",154551.0,Head of Product Design,-1,-1,-1,Wahoo Fitness, NE,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.5,3.6,3.0,4.1,2023-06-03 23:16:49.551343,yr
