Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$116,979 /yr (est.)",116979.0,Instructional Designer/Web-Based Training Developer - Flex Term,0,1,1,Lawrence Livermore National Laboratory, CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.5,2023-06-03 20:41:08.542968,yr
"$80,000 /yr (est.)",80000.0,Front End Web Designer,5,1,1,McGuff Family of Companies, CA,3.2,0,44,51 to 200 Employees,1979,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.0,3.1,3.2,3.6,3.6,2023-06-03 20:41:11.452606,yr
"$110,000 /yr (est.)",110000.0,UI/UX Web Developer,0,1,-1,Interactive Brokers, CT,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.4,4.0,3.4,3.3,3.6,2023-06-03 20:41:13.917200,yr
"$50,744 /yr (est.)",50744.0,Front End Web Design Coordinator - Remote,7,1,1,Terminix, TN,3.2,0,37,5001 to 10000 Employees,1986,Subsidiary or Business Segment,Building & Personnel Services,Management & Consulting,$500 million to $1 billion (USD),3.0,3.2,3.0,2.8,2.8,2023-06-03 20:41:21.142110,yr
"$121,813 /yr (est.)",121813.0,Senior Software Engineer - Graphics,8,1,1,Aspyr, TX,3.7,0,27,51 to 200 Employees,1996,Company - Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.0,3.7,3.4,3.9,2023-06-03 20:41:23.857973,yr
"$52,853 /yr (est.)",52853.0,Web Design & Development Website Coordinator,8,1,0,webfx.com, PA,4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,2023-06-03 20:41:26.645024,yr
"$116,979 /yr (est.)",116979.0,Instructional Designer/Web-Based Training Developer - Flex Term,0,1,1,Lawrence Livermore National Laboratory, CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.5,2023-06-03 20:41:37.190032,yr
"$65,000 /yr (est.)",65000.0,Email Designer & Front-End Developer (Remote),3,1,1,Susan G. Komen,Remote,4.4,1,41,201 to 500 Employees,1982,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,Unknown / Non-Applicable,4.0,3.9,4.2,4.0,4.2,2023-06-03 20:41:40.031021,yr
"$55,000 /yr (est.)",55000.0,WordPress Web Designer,-1,-1,-1,Anderson Business Advisors,Remote,4.3,1,30,201 to 500 Employees,1993,Company - Private,Legal,Legal,Unknown / Non-Applicable,4.4,4.2,4.5,4.4,4.3,2023-06-03 20:41:42.855641,yr
"$70,752 /yr (est.)",70752.0,Email Designer/Developer - Remote,-1,-1,-1,TRC, IL,3.8,0,54,5001 to 10000 Employees,1969,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.6,3.3,3.5,3.3,3.7,2023-06-03 20:41:45.576330,yr
