Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$73,159 /yr (est.)",73159.0,Epidemiologist,0,2,0,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:01:36.486260,yr
"$3,716 /mo (est.)",44592.0,Fish Culturist 1 (PCN 7617),0,1,0,State of Alaska, AK,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.9,3.6,3.4,4.0,2023-06-03 23:01:38.796315,mo
"$115,879 /yr (est.)",115879.0,Lead Data Scientist,-1,-1,-1,Bayer, MO,4.1,0,160,10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.1,3.6,4.0,2023-06-03 23:01:49.633217,yr
"$83,500 /yr (est.)",83500.0,Education Research and Assessment Analyst,0,1,1,State of Colorado Job Opportunities, CO,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.3,3.4,3.2,3.7,2023-06-03 23:01:52.040937,yr
"$130,500 /yr (est.)",130500.0,Clinical Research Associate,6,1,0,BridgeBio, CA,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:01:55.727350,yr
"$63,015 /yr (est.)",63015.0,Staff Environmental Scientist,0,1,1,Stantec, CA,3.9,0,69,10000+ Employees,1954,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),3.8,3.5,3.9,3.6,3.8,2023-06-03 23:01:58.326840,yr
"$58,638 /yr (est.)",58638.0,Clinical Research Associate - Research Nurses,1,1,0,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:02:00.670208,yr
"$54,302 /yr (est.)",54302.0,Environmental Biologist,6,1,1,FirstCarbon Solutions, CA,3.0,0,15,51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.0,2.7,2.8,2.6,3.2,2023-06-03 23:02:03.584166,yr
"$4,012 /mo (est.)",48144.0,"WILDLIFE BIOLOGIST II, III AND IV - DOWNTOWN, OAHU",2,1,0,State of Hawaii,Oahu Island,3.8,0,63,201 to 500 Employees,1960,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,2.7,3.3,3.7,3.4,3.7,2023-06-03 23:02:06.100100,mo
"$65,689 /yr (est.)",65689.0,"Senior Clinical Research Associate, Oncology - Remote",-1,-1,-1,Precision Medicine Group, SD,3.9,0,11,1001 to 5000 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.8,3.8,3.9,3.6,3.5,2023-06-03 23:02:08.558624,yr
"$130,500 /yr (est.)",130500.0,Sr. Clinical Trial Associate,0,1,0,BridgeBio, CA,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:02:11.350154,yr
"$194,228 /yr (est.)",194228.0,Engagement Manager - R&D,0,1,0,Syneos Health Commercial Solutions, NY,3.9,0,6,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.7,3.5,3.8,3.5,3.8,2023-06-03 23:02:13.784922,yr
"$56,911 /yr (est.)",56911.0,Environmental Scientist,10,1,1,KCI Technologies Inc., TN,4.1,0,35,1001 to 5000 Employees,1988,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),4.0,3.9,4.2,3.9,4.0,2023-06-03 23:02:16.547223,yr
"$3,875 /mo (est.)",46500.0,Wildlife Biologist 1/2 (2092),0,1,0,State of Alaska, AK,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.9,3.6,3.4,4.0,2023-06-03 23:02:25.308321,mo
"$68,550 /yr (est.)",68550.0,Product Development and Research Engineer,2,1,1,Henkel, NC,4.3,0,147,10000+ Employees,1876,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),4.0,4.0,4.2,3.9,4.0,2023-06-03 23:02:29.298867,yr
"$51,230 /yr (est.)",51230.0,"Data Standard Analyst, Biostatistics Team - Dallas",0,1,-1,"Medpace, Inc.", TX,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:02:32.137335,yr
"$55,000 /yr (est.)",55000.0,Broadcast Research Analyst,0,1,1,Sportradar, NY,3.7,0,22,1001 to 5000 Employees,2001,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.2,3.6,3.3,3.9,2023-06-03 23:02:34.480219,yr
"$81,567 /yr (est.)",81567.0,Senior Research Associate,5,1,0,Talis Biomedical Corporation, IL,2.9,0,13,51 to 200 Employees,2010,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.0,3.7,2.8,2.7,3.2,2023-06-03 23:02:36.953740,yr
"$80,726 /yr (est.)",80726.0,Research Analyst,5,1,1,Effectv, PA,3.6,0,20,1001 to 5000 Employees,2003,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),3.3,3.8,3.7,3.3,3.8,2023-06-03 23:02:39.648420,yr
"$60,000 /yr (est.)",60000.0,Postdoctoral Research Associate I,0,1,0,University of Arizona, AZ,4.2,0,138,10000+ Employees,1885,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.8,3.5,4.0,3.6,4.0,2023-06-03 23:02:42.448791,yr
"$102,523 /yr (est.)",102523.0,Sr. Clinical Trial Manager,5,1,0,CPC Clinical Research, CO,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.2,2.5,2.9,2023-06-03 23:02:45.052543,yr
"$101,205 /yr (est.)",101205.0,Lead Wetland Scientist,1,1,1,SWCA Environmental Consultants, CA,3.9,0,42,501 to 1000 Employees,1981,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.8,3.1,4.1,3.7,3.8,2023-06-03 23:02:48.629529,yr
"$6,077 /mo (est.)",72924.0,Fishery Biologist 2 (PCN 1262),0,1,1,State of Alaska, AK,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.9,3.6,3.4,4.0,2023-06-03 23:02:51.411292,mo
"$159,500 /yr (est.)",159500.0,"Manager/Sr. Manager, Clinical Data Scientist",5,1,-1,BridgeBio,United States,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:02:54.972354,yr
"$92,500 /yr (est.)",92500.0,"Research Associate II/III, Oncology",0,1,0,BridgeBio, CA,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:02:58.017729,yr
"$152,500 /yr (est.)",152500.0,Clinical Trial Manager,0,1,1,BridgeBio, CA,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:03:00.743848,yr
"$6,287 /mo (est.)",75444.0,District Wildlife Biologist (Supervising Fish and Wildlife Biologist),0,1,1,Department of Fish and Wildlife, OR,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.3,3.1,3.1,2.8,3.5,2023-06-03 23:03:03.506787,mo
"$76,014 /yr (est.)",76014.0,"Senior Clinical Research Associate, Oncology - Remote",-1,-1,-1,Precision for Medicine, CA,3.5,0,10,501 to 1000 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.5,3.4,3.5,3.2,3.5,2023-06-03 23:03:07.308398,yr
$37.50 /hr (est.),78000.0,Wildlife Biologist,8,1,1,Aztec Engineering Group, CA,3.5,0,31,1001 to 5000 Employees,1992,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),2.8,3.5,3.2,3.0,3.3,2023-06-03 23:03:10.189805,hr
