Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$182,400 /yr (est.)",182400.0,Software Developer – Data Platform - Watson Orders,3,1,-1,IBM, CA,4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-06-05 13:26:34.953725,yr
"$118,500 /yr (est.)",118500.0,Implementation Manager,2,1,1,Moveworks.ai,Remote,3.8,1,7,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,4.0,3.7,3.6,3.3,2023-06-05 13:26:36.931752,yr
$53.00 /hr (est.),110240.0,Drupal Web Developer,8,1,-1,ePATHUSA Inc, IA,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.1,2.9,2.9,3.2,3.2,2023-06-05 13:26:38.794344,hr
"$73,572 /yr (est.)",73572.0,RPA Developer - Solution Analyst,1,1,-1,Deloitte, FL,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-06-05 13:26:41.428791,yr
$70.45 /hr (est.),146536.0,Omni Channel developer,1,1,1,Formac Inc,Remote,4.2,1,10,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.7,3.9,4.1,3.9,2023-06-05 13:26:46.699974,hr
"$94,456 /yr (est.)",94456.0,Drupal developer,8,1,-1,Intone Networks, IA,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.2,4.2,3.6,4.2,2023-06-05 13:26:48.619466,yr
"$130,000 /yr (est.)",130000.0,Lead Front-End Developer,8,1,1,Nutrafol, NY,3.4,0,10,51 to 200 Employees,2013,Self-employed,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,3.4,4.0,3.8,3.4,3.3,2023-06-05 13:26:51.241651,yr
"$105,524 /yr (est.)",105524.0,Genesys Developer,0,-1,-1,PRO IT, NJ,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:27:01.586151,yr
