Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$79,578 /yr (est.)",79578.0,BARDA Fellowship Opportunities in Medical Countermeasures Research & Development,4,1,0,-1, DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:25:49.573021,yr
$23.50 /hr (est.),48880.0,Hybrid Administrative Assistant,3,1,0,"Supporting Strategies - Merrimack Valley and Southern Maine
3.8", NH,3.8,0,19,51 to 200 Employees,2004,Franchise,Accounting & Tax,Financial Services,$1 to $5 million (USD),3.4,3.1,3.7,3.7,4.1,2023-06-05 13:25:55.060375,hr
"$76,940 /yr (est.)",76940.0,Associate Engineer,0,2,0,"ConverseNow Technologies
4.6", TX,4.6,0,5,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.7,4.6,4.7,4.9,4.6,2023-06-05 13:25:56.962436,yr
"$99,893 /yr (est.)",99893.0,Solutions Engineer - USA,0,1,0,"INGENIOUS.BUILD
4.5", TN,4.5,0,7,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.4,4.5,4.3,4.3,2023-06-05 13:25:58.782125,yr
"$50,000 /yr (est.)",50000.0,Real Estate Office Assistant,2,2,0,"Bluelofts Inc.
5.0", TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-05 13:26:00.758709,yr
"$97,500 /yr (est.)",97500.0,Personal Lines Producer,0,2,1,Heaton Bennett Insurance,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:26:03.631153,yr
"$89,399 /yr (est.)",89399.0,Senior Conversational AI and VUI Designer & Developer,2,2,1,"Rulai, Inc.
2.7", CA,2.7,0,-1,-1,-1,-1,-1,-1,-1,1.4,2.3,2.4,2.4,4.6,2023-06-05 13:26:11.807639,yr
"$143,815 /yr (est.)",143815.0,Senior Voice Solutions Architect,5,1,1,"Boost AI
4.1", MA,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.8,3.9,2023-06-05 13:26:14.879128,yr
