Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$87.50 /hr (est.),182000.0,Technical Consultant - I,6,1,-1,Strivernet RPO Services Ltd,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:27:22.217282,hr
"$87,258 /yr (est.)",87258.0,AWS / ML Consultant,0,1,1,Cognizant, NJ,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.4,3.6,2023-06-05 13:27:26.945432,yr
"$192,000 /yr (est.)",192000.0,"Data, AI & Automation Senior Managing Consultant",10,2,1,IBM, DC,4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,2023-06-05 13:27:28.614493,yr
"$79,816 /yr (est.)",79816.0,E T Consultant,10,1,1,World Bank Group, DC,4.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:27:30.460869,yr
$24.00 /hr (est.),49920.0,"PT Field Consultant I - Monterey/Santa Cruz County, CA",0,1,1,EXL Services, CA,3.8,0,24,10000+ Employees,1999,Company - Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.3,3.6,3.5,3.7,2023-06-05 13:27:34.110168,hr
"$117,500 /yr (est.)",117500.0,Data Science Consultant Level II,5,2,1,Pandata,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:27:44.010827,yr
