Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$134,741 /yr (est.)",134741.0,Lead Game Designer,0,1,1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-05 13:09:06.962295,yr
$42.48 /hr (est.),88358.4,"Combat Designer, Player Abilities - Unannounced Survival Game",3,1,0,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.5,2.9,3.8,2023-06-05 13:09:09.044834,hr
"$80,000 /yr (est.)",80000.0,Game Systems Designer,3,1,-1,Bit Fry Game Studios. Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:09:10.829979,yr
"$83,267 /yr (est.)",83267.0,Game Designer,-1,-1,-1,Las Vegas Sands Corp., NV,4.0,0,19,10000+ Employees,2004,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$10+ billion (USD),3.3,4.2,3.7,3.7,3.4,2023-06-05 13:09:15.603156,yr
"$134,400 /yr (est.)",134400.0,Senior Game Designer (Economy),-1,-1,-1,Electronic Arts, CA,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-05 13:09:20.272306,yr
"$122,826 /yr (est.)",122826.0,Senior Game Designer,-1,-1,-1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-05 13:09:21.929521,yr
"$88,500 /yr (est.)",88500.0,Technical Game Designer,0,2,-1,thatgamecompany,United States,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.7,5.0,5.0,5.0,5.0,2023-06-05 13:09:24.113316,yr
"$61,982 /yr (est.)",61982.0,"Live Service Game Designer (Systems, Content, Narrative)",0,2,-1,BIGBOX VR, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:09:26.869738,yr
