Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$83,491 /yr (est.)",83491.0,Lead Technical Animator,5,1,1,Ubisoft, NC,3.8,0,37,10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.6,3.1,3.9,3.3,4.2,2023-06-05 13:11:45.819089,yr
"$112,500 /yr (est.)",112500.0,SENIOR CHARACTER ANIMATOR,5,2,1,Evil Eye Pictures, CA,4.9,0,19,1 to 50 Employees,2004,Company - Private,Film Production,Media & Communication,$5 to $25 million (USD),4.5,4.4,4.9,4.7,4.9,2023-06-05 13:11:47.511227,yr
"$65,147 /yr (est.)",65147.0,Senior Animator (Onsite/Remote),5,1,1,"Impact Recruiting, LLC", TX,5.0,0,16,1 to 50 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),4.4,4.7,5.0,5.0,5.0,2023-06-05 13:11:49.161607,yr
"$41,657 /yr (est.)",41657.0,Junior Rigger,0,2,0,SuperGenius, OR,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.5,5.0,4.5,4.8,2023-06-05 13:11:59.444612,yr
"$89,760 /yr (est.)",89760.0,Lead Animator,5,2,1,Warner Bros. Discovery, IL,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.6,2023-06-05 13:12:02.026184,yr
"$140,000 /yr (est.)",140000.0,"Lead Animator, P12",5,2,1,"Cryptic Studios, Inc.", CA,3.4,0,23,51 to 200 Employees,2000,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.1,3.7,3.0,4.0,2023-06-05 13:12:03.940717,yr
"$130,000 /yr (est.)",130000.0,Technical Animator,-1,-1,-1,Paradox Interactive, CA,3.2,0,24,501 to 1000 Employees,1999,Company - Public,Video Game Publishing,Media & Communication,$100 to $500 million (USD),3.2,2.5,3.3,2.7,3.9,2023-06-05 13:12:07.967536,yr
