Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$93,468 /yr (est.)",93468.0,Machine Learning Engineer / A.I. - USA Based Remote,0,1,-1,"Gaea Global Technologies, In", CA,4.7,0,16,51 to 200 Employees,2007,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.4,4.3,4.6,4.5,4.2,2023-06-05 13:01:44.312027,yr
$55.00 /hr (est.),114400.0,Machine Learning Engineer,10,2,-1,Wisdom Soft Inc, NC,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.5,4.7,5.0,5.0,2023-06-05 13:01:46.125738,hr
"$151,450 /yr (est.)",151450.0,Staff Machine Learning Engineer,5,1,1,eHealth,Remote,3.0,1,26,1001 to 5000 Employees,1997,Company - Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),2.7,3.5,2.9,2.7,3.0,2023-06-05 13:01:48.898058,yr
"$175,000 /yr (est.)",175000.0,Machine Learning Engineer (Remote),2,2,1,Curai, CA,4.5,0,6,51 to 200 Employees,2017,Company - Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable,4.2,4.2,4.5,4.1,4.2,2023-06-05 13:01:50.536520,yr
"$190,000 /yr (est.)",190000.0,Lead Machine Learning Engineer,5,2,1,kea,Remote,4.5,1,5,1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.4,4.3,5.0,4.4,4.0,2023-06-05 13:01:52.227528,yr
"$140,566 /yr (est.)",140566.0,Machine Learning Engineer,-1,-1,-1,Sian Consulting Group, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:01:54.068062,yr
"$86,500 /yr (est.)",86500.0,Machine Learning Engineer L-1,0,2,-1,Lauretta AI LLC, TX,3.0,0,7,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.0,3.0,3.0,2.0,2.0,2023-06-05 13:01:58.574477,yr
"$205,000 /yr (est.)",205000.0,Senior Machine Learning Engineer,0,2,-1,Lambda,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,2023-06-05 13:02:00.461389,yr
$60.00 /hr (est.),124800.0,"Immediate need of Python Machine Learning Engineer, 3-6 monthS /(C2H), Remo",5,2,1,LotusData,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:02:06.200557,hr
